                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                            ####                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                         ##########                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                                                                                                                       ##############                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
                                                                                                                     ##################  ########                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
                                                                                                                    ################################                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                                                                                                                #####################################                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
                                                                                                               #######################################                                                                                                                                                                                                                               ####                                                                                                                                                                                                                                                                                                                                  
                                                                                                             ##########################################                                                                                                                                                                                                                            #########   ###########                                                                                                                                                                                                                                                                                                                 
                                                                                                            ###########################################                                                                                                                                                                                                                           #########################                                                                                                                                                                                                                                                                                                                
                                                                                                            ############################################                                                                                                                                                                                                                    ## #############################                                                                                                                                                                                                                                                                                                               
                                                                                                             ###########################################                                                                                                                                                                                                                  ###################################                                                                                                                                                                       ###                                                                                                                                    
                                                                                                             ###########################################                                                                                                                                                                                                                ######################################                                                                                                                                                                    #####                                                                                                                                    
                                                                                                             ###########################################                                                                                                                                                                                                               #######################################                                                                                                                                                                   ######                                                                                                                                    
                                                                                                              ##########################################                                                                                                                                                                                                               ########################################                                                                                                                                                                  #####                  ##                      #####                                                                                      
                                                                                                              ###########################################                                                                                                                                                                                                             ##########################################                                                                                                                                                                ######                 ######                 ############                                                                                 
                                                                                                               ##########################################                                                                                                                                                                                                           #############################################                                                                                                                                             ######           #######                 #######              ################                                                                               
                                                                                                               ##########################################                                                                                                                                                                                                        #################################################                                                                                                                                  ##################       #########                 ######################################                                                                              
                                                                                                                  #######################################                                                                                                                                                                                                       ###################################################                                                                                                                                 ###################################                ########################################     #########                                                              
                                                                                                                  ########################################                                                                                                                                                                                                      ###################################################                                                                                                                                  ###################################               ########################################################                                                            
                                                                                                                   #######################################                                                                                                                                                                                                     #####################################################                                                                                                                                  ##################################               ########################################################                                                            
                                                                                                                    ######################################                         #######    #####            ###########        ##########                                                                                                                   ######################################################                                                                                                                                    ################################               #######################################################                                                            
                                                                                                                     ######################################                        ####################      ################################                                                                                                                  #######################################################                                                                                                                   #####           ################################                  ####################################################                                                            
                                                                                                                      #####################################                       ######################  ###################################                                                                                                                  #######################################################                                                                                                   ##########    ########          ################################                  ####################################################                                                            
                                                                                                                      #####################################                      ############################################################                                                                                                                  #######################################################                                                                                                ##########################         #################################                 ####################################################                                                            
                                                                                                                       ####################################                      ############################################################                                                   #####                                                          ######################################################                                                                                                ############################        #################################                 ####################################################                                                            
                                                                                                                         ##################################                      ############################################################                                                  #######                                                         ######################################################                                                                                                #############################       #################################                 ####################################################                                                            
                                                                                                                             #############################                       #############################################################                                                #########                                                         #####################################################                                                                                                #############################       #################################                 ####################################################                                                            
                                                                                                                               ###########################                       ##############################################################                                              ###########                                                          ##################################################                                                                                                 #############################       #################################                 ###################################################                                                             
                                                                                                                                 ######################                          ################################################################                                           ##############                                                         ################################################                                                                                                  #############################        ###############    ###  #######                  ###################################################                                                             
                                                                                                                                    ###############                              ################################################################                                          #################                                                           #########################################                                                                                                     ##############################       ##############                                   ###################################################                                                             
                                                                                                                                      ###########                                 #################################################################                                       ####################                                                            ##################################                                                                                                         ##############################        ###########                                      ##################################################                                                             
                                                                                                                                        ######                                    #################################################################                                      ######################                                                            ################################                                                                                                         ################################         ######                                         ##################################################                                                             
                                                                                                                                                                                  ##################################################################                                    #######################                                                              ##############################                                                                                                       ##################################                                                        ##################################################                                                           ##
                                                                                                                                                                                   ##################################################################                     #####################################                                                             ###############################                                                                                                 ########################################                                                       ##################################################                                                           ###
                                                                                                  ######                                                                           ###################################################################                ##########################################                                                           ################################                                                                                               ##########################################                                                       ##################################################                                                        ######
                                                                                                #########                                                                         #####################################################################            #############################################                                                          #################################                                                                                              ###########################################                                                        ################################################                                                   F ##########
                                                                                              ############                                                                        #######################################################################       #################################################                                                         ################################                                                                                              ############################################                                                        ################################################                                         ######################
                                                                                             ##############         ######                                                        ################################################################################################################################                                                        ################################                                                                                             ############################################                                                         ################################################                                      #########################
                                                                                          #################        ##############                                              ###################################################################################################################################                                                        ################################                                                                                           ##############################################                                                         ###############################################                                       #########################
                                                                                          ##################      #################   ###########                      ###########################################################################################################################################                                                        ################################                                                                                          #############################################                                                           ###############################################                                      ##########################
                        A                                                                ###################      #################################       ########################################################################################################################################################                                                         ###############################                                                                                          ############################################                                                            ###############################################                                      ##########################
                                                                                         ###################      #################################       #######################################################################################################################################################                                                            ############# ##############                                                                                        ############      ############################                                                             ################################################                                       ########################
                                                                                        ####################      ##################################      #######################################################################################################################################################                                                             ####             ####                                                                                             ###########            ########################                                     ########               ##################################################                                       #######################
                                                                                        ####################      ##################################      ######################################################################################################################################################                                                                                                                                                                               ####  ####                      #################                              #################          #####################################################                                       ######################
         E                                                                             ####################        #################################        ####################################################################################################################################################                                                                                                                                                                               ##                                  #############                             #####################      ######################################################                                         ####################
    #########                                          W                             ######################        #################################        ####################################################################################################################################################                                                                                                                                                                                                                       ########                              ##################################################################################                                        ####################
 ##############                                                                    ########################         #################################        ##################################################################################################################################################                                                                                                                                                                                                                          ######                               #################################################################################                                         ###################
#################           A                                                    ##########################         ###################################        ################################################################################################################################################                                                                                                                                                                    #######                                                                                     ################################################################################                                           #################
##################                                                             ############################          ##################################         ##########################################################################################################################     ################                                                                                                                                                                  ############                                                                                   ###############################################################################                                            ################
###################L         A                                               ##############################          ###################################                ################################################################################################################       ################                                                                                                                                                                 ################                                                                                ###############################################################################                                            ################
####################                                                        ##############################           ####################################                 #############################################      ##########################################################          ##############                                                                                                                                                   ##############################                                                                                 ###############################################################################                                           ################
 ####################                                                       ##############################            ####################################                ###########################################           #######################################################           #############                                                                                                                                                   ###############################                                                                                ################################################################################                                          ################
  ####################                              ######                ################################            ####################################                  ## ####    #############################             ######################################################            ############                                                                                                                                                   ################################                                                                                ###############################################################################          ######                          ################
   ####################                         ############            ##################################           ######################################                             ############################               ####################################################             #########                                                                                                                                                   ##################################                                                                                 ###############################################################################      ###########                        ################
    ####################              ######################            ##################################           #######################################                              #########################                  ##################################################              ######                                                                                                                                                    ###################################                                                                                 ################################################################################  ################                      ################
     #######################    #############################           ##################################          ########################################                               #######################                    #################################################                ###                                                                                                                                                    ####################################     ##                                        ##########      ######             ##################################################################################################                     ################
      #######################################################            #################################          #########################################                             ########################                     ################################################                                                                                                                                                                     #######################################    ####                     ######        ##############  ##########            ###################################################################################################                    ################
         ####################################################              ##############################           ##########################################                           ########################                     #################################################                                                                                                                                                                    ########################################    #####                 ##########       ###########################           ####################################################################################################                   ################
            #################################################                ###########################            ##########################################                          #########################                     #################################################                                                                                                                                                                  ##########################################   ########          #################      ##########################          #######################################################################################################                  ###############
              ##############################################                   #######     ############              #########################################                         ##########################                     ################################################                                                                                                                                                                  ###########################################   #########     ######################       ########################         #########################################################################################################                 ###############
                ############################################                                                         #########################################                         #########################                      ##############################################                                                                                                                                                                   ############################################   ########### ########################       ########################         #########################################################################################################                  ##############
                ###########################################                                                          #########################################                         #########################                     #############################################                                                                                                                                                                   ##############################################   #####################################      #########################        #########################################################################################################                   #############
                  #########################################                                                          ########################################                          ########################                      #########################################                                                                                                                                                                     ###############################################    ######################################     #########################        ########################################################################################################                     ############
                    ######################################                                                           #####################################                             #######################                       ######################################                                                                                                                                                                       ################################################     #####################################     ##########################       ########################################################################################################                     ############
                      ###################################                                                            #################################                                 #######################                       #######################                                                                                                                                                                                    #################################################       ####################################     ##########################        ######################################################################################################                       ###########
                          #############################                                                              ################################                                  ######################                        #####################                                                                                                                                                                                   ###################################################        ###################################      #########################          ######################################################################################################                       ##########
                                    ##################                                                                ##############################                                   ####################                            ################                                                                                                                                                                                     ###################################################         ##################################        #######################            ######################################################################################################                       ######  #
                                       ###############                                                                 ###########################                                        ###############                                   ########                                                                                                                                                                                        ###############################################             ################################                  #############               ######################################################################################################                              #
                                        ############                                                                      #####          #######                                              ######                                                                                                                                                                                                                                        ##########################################                  #############################                          ######                    ###################################################################################################                              #
                                            ##                                                                                                                                                                                                                                                                                                                                                                                               #############################    ##                           #########################                            ###                        ##################################################################################################                             #
                                                                                                                                                                                                                                                                                                                                                                                                                                              ########        ########                                          ##    ###########                                                           #################################################################################################                            ##
                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ##                                                                                                                         ###############################################################################################                             ##
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ###########################################################################################                               #
